# Intensity	Volts (mv)	V err (mv)	current (A)	Temperature (K)	1/T (1/K)	log Vout
30.0000000	0.4040000	0.0050000	0.8600000	2343.0606594	0.0004268	-0.9063404
35.0000000	0.5150000	0.0050000	0.9300000	2504.6353350	0.0003993	-0.6635884
40.0000000	0.6350000	0.0050000	1.0000000	2643.5895561	0.0003783	-0.4541303
45.0000000	0.7420000	0.0050000	1.0600000	2787.6681609	0.0003587	-0.2984060
50.0000000	0.8780000	0.0050000	1.1200000	2916.3097724	0.0003429	-0.1301087
55.0000000	0.9920000	0.0050000	1.1800000	3031.8691861	0.0003298	-0.0080322
60.0000000	1.1180000	0.0050000	1.2300000	3159.3531172	0.0003165	0.1115414
65.0000000	1.2450000	0.0050000	1.2900000	3253.7542858	0.0003073	0.2191355
70.0000000	1.3800000	0.0100000	1.3400000	3362.4938232	0.0002974	0.3220835
75.0000000	1.4900000	0.0100000	1.3900000	3463.4103724	0.0002887	0.3987761
80.0000000	1.6400000	0.0100000	1.4500000	3534.8131808	0.0002829	0.4946962
85.0000000	1.7600000	0.0100000	1.4900000	3644.9247025	0.0002744	0.5653138
90.0000000	1.9000000	0.0100000	1.5400000	3726.8418839	0.0002683	0.6418539
95.0000000	2.0500000	0.0100000	1.5900000	3803.6070413	0.0002629	0.7178398
100.0000000	2.1800000	0.0100000	1.6400000	3875.6913965	0.0002580	0.7793249
