# Intensity	Volts (mv)	V err (mv)	current (A)	Temperature (K)	1/T (1/K)	log Vout
30.0000000	0.1750000	0.0050000	0.8600000	1869.7772465	0.0005348	-1.7429693
35.0000000	0.2050000	0.0050000	0.9200000	2009.5221203	0.0004976	-1.5847453
40.0000000	0.2590000	0.0050000	0.9900000	2112.6405378	0.0004733	-1.3509272
45.0000000	0.3020000	0.0050000	1.0600000	2201.3166060	0.0004543	-1.1973283
50.0000000	0.3470000	0.0050000	1.1200000	2295.3110976	0.0004357	-1.0584305
55.0000000	0.3890000	0.0050000	1.1800000	2379.0846016	0.0004203	-0.9441759
60.0000000	0.4330000	0.0050000	1.2300000	2470.8138363	0.0004047	-0.8370176
65.0000000	0.4760000	0.0050000	1.2900000	2538.2946000	0.0003940	-0.7423374
70.0000000	0.5230000	0.0050000	1.3400000	2615.5766904	0.0003823	-0.6481738
75.0000000	0.5790000	0.0050000	1.4000000	2670.9230656	0.0003744	-0.5464528
80.0000000	0.6170000	0.0050000	1.4400000	2752.9000600	0.0003633	-0.4828863
85.0000000	0.6720000	0.0050000	1.5000000	2798.5906750	0.0003573	-0.3974969
90.0000000	0.7150000	0.0050000	1.5400000	2871.2652587	0.0003483	-0.3354727
95.0000000	0.7530000	0.0050000	1.5900000	2924.5379856	0.0003419	-0.2836901
100.0000000	0.7980000	0.0050000	1.6400000	2974.3835906	0.0003362	-0.2256467
